"old","new","replacements"
"https://static.wixstatic.com/media/e09be6_66078023529c48cd8c5237cbdeecb0da~mv2.png","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\icons\insta-icon.png""","0"
"https://static.wixstatic.com/media/e09be6_6869da93ad5d4e059d019b48ea6084a9~mv2.avif","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\images\kids\kids2.avif""","0"
"https://static.wixstatic.com/media/e09be6_69258a9ca4f84c39907c332eba790ee5~mv2.avif","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\images\spanish\spanish-hero2.avif""","0"
"https://static.wixstatic.com/media/e09be6_694f3ea5a31e4e9e833f81d8e6fda13b~mv2.avif","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\images\kids\kids3.avif""","0"
"https://static.wixstatic.com/media/e09be6_6c3b8573fff54d9292efbf9959f64826~mv2.avif","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\images\hero-youth.avif""","0"
"https://static.wixstatic.com/media/e09be6_6de0a9a07e9245d9afe9d2093f319614~mv2.avif","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\images\oet.avif""","0"
"https://static.wixstatic.com/media/e09be6_6ee20b4308ff487a9b4704ffcf2f51b7~mv2.png","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\icons\facebook-icon.png""","0"
"https://static.wixstatic.com/media/e09be6_6f439bcce25a4790926d5fee783dae1e~mv2.jpg","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\images\eng.jpg""","0"
"https://static.wixstatic.com/media/e09be6_7617269481254d28a77eca5073146dc8~mv2.avif","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\images\tofel\tofel1.avif""","0"
"https://static.wixstatic.com/media/e09be6_761dfb73acb446468553d58575f03fd1~mv2.png","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\images\kids\kids4.png""","0"
"https://static.wixstatic.com/media/e09be6_767763e0f9e64287a9993b171d028f88~mv2.avif","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\images\france.avif""","0"
"https://static.wixstatic.com/media/e09be6_7845b96296614b56935baba9e9849a75~mv2.avif","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\images\private.avif""","0"
"https://static.wixstatic.com/media/e09be6_7b265da0e9224692b8f674216a4c4442~mv2.webp","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\images\summer\ai-kdis.webp""","0"
"https://static.wixstatic.com/media/e09be6_7cfb19d1c67a488883b58a24a6eab225~mv2.avif","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\images\spanish\spanish-hero3.avif""","0"
"https://static.wixstatic.com/media/e09be6_7fc3a825cc25464bac8669ec1fd0aad3~mv2.avif","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\images\summer\camp.avif""","0"
"https://static.wixstatic.com/media/e09be6_866cbf8c5c364c2fbfe54154a5db93d5~mv2.png","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\images\summer26\summer4.png""","0"
"https://static.wixstatic.com/media/e09be6_87dcfb6df6c143dd815551be0c860408~mv2.png","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\images\summer.png""","0"
"https://static.wixstatic.com/media/e09be6_87f9185a0ee647a98f9c65bb5db54515~mv2.png","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\images\tofel\tofel2.png""","0"
"https://static.wixstatic.com/media/e09be6_8854dd62ba3d4f7e80d02161df5773b4~mv2.avif","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\images\partners\eton.avif""","0"
"https://static.wixstatic.com/media/e09be6_8a975cf11a6c478abbb1e5dba2d977bc~mv2.png","""D:\Work\EACC_WEBSITE_FINAL_VERSION\assets\images\summer26\summer5.png""","0"
